日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,嘉義,7.9,20.42,27.97,15.49,75.11,37.31,3.35
2016-01-08,嘉義,3.13,19.69,22.54,21.08,58.41,32.43,3.04
2016-01-15,嘉義,6.31,24.5,30.71,16.9,64.2,37.47,3.83
2016-01-22,嘉義,4.29,18.51,22.79,20.69,54.76,,3.02
2016-01-29,嘉義,4.12,19.55,23.66,17.67,43.34,19.79,2.21
2016-02-05,嘉義,2.45,17.15,19.61,37.58,76.85,46.53,2.99
2016-02-12,嘉義,5.35,24.99,30.13,16.8,55.23,28.22,2.99
2016-02-19,嘉義,2.62,22.93,25.62,24.59,93.61,45.9,4.16
2016-02-26,嘉義,2.77,22.1,24.88,30.41,89.03,45.32,3.59
2016-03-04,嘉義,3.03,18.97,21.99,22.44,65.38,39.88,4.53
2016-03-11,嘉義,6.66,24.03,30.56,15.52,55.82,36.04,3.62
2016-03-18,嘉義,4.47,18.71,23.22,18.58,71.58,39.41,2.4
2016-03-25,嘉義,1.95,17.17,19.12,42.11,77.22,43.49,3.26
2016-04-01,嘉義,2.14,11.57,13.73,30.18,78.62,43.61,3.09
2016-04-08,嘉義,2.23,11.84,14.03,26.44,52.2,27.93,2.99
2016-04-15,嘉義,2.41,12.1,14.49,27.5,51.38,25.39,3.01
2016-04-22,嘉義,2.0,9.6,11.59,26.23,44.67,20.05,2.87
2016-04-29,嘉義,2.18,11.46,13.65,31.81,65.24,33.18,3.02
2016-05-06,嘉義,1.87,9.61,11.45,25.81,42.08,16.94,2.73
2016-05-13,嘉義,2.06,11.59,13.63,39.74,56.0,25.41,3.02
2016-05-20,嘉義,1.75,10.15,11.91,29.43,49.85,24.82,2.77
2016-05-27,嘉義,1.82,5.03,6.73,19.84,31.64,9.33,2.15
2016-06-03,嘉義,1.39,5.69,7.07,25.07,30.59,8.96,2.18
2016-06-10,嘉義,2.05,4.85,6.9,20.48,24.79,6.56,2.39
2016-06-17,嘉義,1.68,5.77,7.42,22.2,28.03,10.17,2.56
2016-06-24,嘉義,1.3,6.17,7.44,22.42,30.03,11.04,2.32
2016-07-01,嘉義,1.21,7.61,8.77,24.61,34.19,11.81,2.95
2016-07-08,嘉義,1.3,4.42,5.73,23.3,20.62,6.76,2.46
2016-07-15,嘉義,1.43,4.63,6.05,19.2,32.67,10.2,1.92
2016-07-22,嘉義,1.22,5.98,7.19,24.61,34.21,15.93,2.59
2016-07-29,嘉義,1.38,7.71,9.07,31.06,36.13,17.16,2.55
2016-08-05,嘉義,1.47,7.93,9.33,32.25,38.46,18.93,2.94
2016-08-12,嘉義,2.18,6.48,8.64,24.23,28.47,11.52,2.34
2016-08-19,嘉義,1.9,6.23,8.12,33.14,42.64,22.53,3.46
2016-08-26,嘉義,1.88,8.51,10.36,49.46,57.34,37.3,3.28
2016-09-02,嘉義,2.88,7.19,10.09,20.95,24.83,8.62,2.25
2016-09-09,嘉義,3.01,7.39,10.4,22.88,31.3,12.71,2.73
2016-09-16,嘉義,3.14,12.03,15.11,34.78,54.42,24.36,3.79
2016-09-23,嘉義,1.92,10.21,12.14,31.64,50.62,24.52,3.01
2016-09-30,嘉義,1.95,12.68,14.64,30.74,52.88,29.69,3.32
2016-10-07,嘉義,2.23,14.73,16.84,19.99,37.88,17.05,2.64
2016-10-14,嘉義,2.23,12.81,14.79,38.89,68.59,40.52,3.29
2016-10-21,嘉義,1.93,11.14,13.04,27.8,48.65,23.44,3.96
2016-10-28,嘉義,2.3,16.71,18.99,32.12,62.97,30.26,3.36
2016-11-04,嘉義,2.16,17.06,19.27,31.71,61.15,28.66,3.46
2016-11-11,嘉義,2.68,20.88,23.55,32.96,92.43,53.18,3.65
2016-11-18,嘉義,4.75,19.87,24.65,23.26,63.94,35.42,4.33
2016-11-25,嘉義,3.68,20.45,24.09,19.46,53.91,24.48,3.76
2016-12-02,嘉義,3.17,22.12,25.24,23.6,80.8,40.59,4.57
2016-12-09,嘉義,4.74,21.46,26.23,23.44,76.57,39.06,3.82
2016-12-16,嘉義,3.11,23.76,26.83,26.54,82.49,49.61,4.15
2016-12-23,嘉義,4.31,25.64,29.78,20.22,77.69,39.19,5.06
