日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,斗六,7.63,21.86,29.52,15.53,60.59,38.8,2.64
2016-01-08,斗六,2.77,18.91,21.72,23.56,45.42,27.53,2.63
2016-01-15,斗六,4.86,22.56,27.37,19.21,47.52,32.54,2.93
2016-01-22,斗六,4.05,18.37,22.4,22.83,43.1,25.35,2.83
2016-01-29,斗六,4.1,19.31,23.37,20.27,33.13,17.4,2.28
2016-02-05,斗六,2.06,14.7,16.7,40.31,69.94,45.55,3.28
2016-02-12,斗六,3.92,17.99,21.87,19.79,41.6,25.05,3.14
2016-02-19,斗六,2.95,20.31,23.28,26.9,68.68,43.29,3.25
2016-02-26,斗六,3.62,21.19,24.8,30.89,73.7,41.65,3.61
2016-03-04,斗六,2.82,18.88,21.74,25.23,61.22,37.16,3.7
2016-03-11,斗六,4.62,24.31,28.93,18.64,49.31,31.15,2.52
2016-03-18,斗六,3.67,20.52,24.23,20.54,61.03,37.74,2.38
2016-03-25,斗六,2.09,17.94,20.02,44.64,67.94,45.05,3.5
2016-04-01,斗六,2.06,14.41,16.47,30.62,73.12,47.6,3.24
2016-04-08,斗六,2.49,14.34,16.86,28.63,50.6,32.2,3.27
2016-04-15,斗六,2.67,14.75,17.37,28.41,48.67,28.43,2.87
2016-04-22,斗六,2.42,12.9,15.28,25.14,43.65,23.24,2.82
2016-04-29,斗六,2.35,14.26,16.61,32.31,58.2,34.48,3.26
2016-05-06,斗六,2.26,11.83,14.07,27.73,42.36,20.72,2.91
2016-05-13,斗六,2.49,13.5,15.97,40.05,51.28,25.11,3.2
2016-05-20,斗六,2.49,12.33,14.79,28.93,47.38,24.82,3.23
2016-05-27,斗六,2.41,7.89,10.29,19.94,27.63,9.9,2.66
2016-06-03,斗六,1.82,8.4,10.15,26.11,27.85,10.09,2.56
2016-06-10,斗六,2.44,8.24,10.66,19.72,24.65,7.36,1.94
2016-06-17,斗六,2.0,7.98,9.97,22.35,33.93,10.1,2.95
2016-06-24,斗六,2.5,7.78,10.22,23.65,32.76,13.7,2.56
2016-07-01,斗六,1.6,8.81,10.34,26.1,38.48,14.96,3.13
2016-07-08,斗六,1.85,6.9,8.75,21.36,20.9,7.62,2.05
2016-07-15,斗六,2.23,7.12,9.33,19.36,29.49,13.34,2.96
2016-07-22,斗六,1.93,7.73,9.7,25.57,32.25,17.12,3.28
2016-07-29,斗六,2.0,8.0,10.01,32.8,33.36,17.54,2.6
2016-08-05,斗六,2.12,8.06,10.22,32.61,36.75,18.3,3.23
2016-08-12,斗六,2.04,8.96,10.99,23.73,26.78,12.11,2.68
2016-08-19,斗六,2.06,7.94,9.97,35.69,41.01,23.64,3.64
2016-08-26,斗六,1.8,9.99,11.78,49.56,54.27,34.6,3.29
2016-09-02,斗六,2.62,8.59,11.18,23.21,22.89,8.66,2.39
2016-09-09,斗六,2.29,9.22,11.51,21.41,27.43,10.79,2.71
2016-09-16,斗六,1.73,12.45,14.11,33.47,44.87,22.26,3.38
2016-09-23,斗六,2.77,11.13,13.81,29.23,49.47,19.78,3.05
2016-09-30,斗六,3.26,12.66,15.88,29.22,50.07,29.02,3.73
2016-10-07,斗六,3.06,11.81,14.85,21.92,34.06,14.09,2.47
2016-10-14,斗六,2.81,13.65,16.4,39.13,71.61,46.87,3.68
2016-10-21,斗六,3.33,11.6,14.92,26.21,50.6,28.1,3.98
2016-10-28,斗六,2.95,13.06,16.02,34.15,53.51,27.54,3.33
2016-11-04,斗六,2.55,15.32,17.82,32.37,58.67,30.98,3.16
2016-11-11,斗六,3.2,18.27,21.4,32.57,87.93,52.92,3.92
2016-11-18,斗六,5.27,17.47,22.76,23.22,54.08,31.77,3.19
2016-11-25,斗六,3.49,18.42,21.9,21.42,46.7,21.6,3.01
2016-12-02,斗六,3.91,17.69,21.64,25.94,64.12,35.74,3.52
2016-12-09,斗六,4.08,19.08,23.04,27.98,62.3,33.41,3.28
2016-12-16,斗六,4.25,18.18,22.39,27.14,71.89,42.41,3.43
2016-12-23,斗六,4.27,18.5,22.76,23.24,65.7,34.94,3.08
